epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.391,0.93241,1.74084,1.13925,0.68162,0.51886,0.57615,0.41893,0.90375,1.41233,1.10608,0.000301629,0.000301629,0.000301629
2,201.29,1.10494,1.34761,1.23269,0.56033,0.42663,0.45643,0.29526,1.09324,1.76806,1.24184,0.000592657,0.000592657,0.000592657
3,298.578,1.13389,1.32254,1.24712,0.66078,0.45337,0.49778,0.34465,1.07483,1.52425,1.25351,0.000871687,0.000871687,0.000871687
4,395.587,1.16869,1.33713,1.28017,0.75336,0.54342,0.6297,0.4469,0.93543,1.09121,1.14438,0.000855005,0.000855005,0.000855005
5,493.018,1.09282,1.19058,1.22109,0.7228,0.55514,0.61118,0.44353,0.93607,1.08135,1.13893,0.000837007,0.000837007,0.000837007
6,589.998,1.03511,1.11733,1.19979,0.77653,0.60486,0.66265,0.47885,0.86485,0.932,1.09678,0.000819009,0.000819009,0.000819009
7,687.394,1.0082,1.06678,1.17804,0.78223,0.58713,0.6687,0.50733,0.8114,0.93946,1.05728,0.000801011,0.000801011,0.000801011
8,784.628,0.95427,1.00519,1.1404,0.85664,0.60197,0.69502,0.5203,0.84217,0.90626,1.06661,0.000783013,0.000783013,0.000783013
9,881.645,0.94211,0.98191,1.1436,0.75503,0.62124,0.67332,0.51368,0.83794,0.92734,1.07107,0.000765014,0.000765014,0.000765014
10,979.071,0.90939,0.91377,1.11739,0.87557,0.62412,0.72395,0.55598,0.73796,0.75874,1.02611,0.000747016,0.000747016,0.000747016
11,1076.4,0.89525,0.86568,1.11181,0.81298,0.64259,0.71503,0.54666,0.76158,0.80799,1.03772,0.000729018,0.000729018,0.000729018
12,1173.53,0.86767,0.86423,1.09732,0.86358,0.62061,0.72727,0.56359,0.73288,0.80312,1.01066,0.00071102,0.00071102,0.00071102
13,1270.98,0.85425,0.81645,1.0805,0.85111,0.65412,0.73794,0.58477,0.71232,0.72481,1.01128,0.000693022,0.000693022,0.000693022
14,1367.96,0.80291,0.80315,1.0657,0.85581,0.63018,0.72025,0.5685,0.69776,0.74934,0.99947,0.000675023,0.000675023,0.000675023
15,1464.99,0.80723,0.77474,1.05498,0.91085,0.68783,0.76886,0.60341,0.66154,0.65469,0.97729,0.000657025,0.000657025,0.000657025
16,1562.29,0.7976,0.77574,1.05319,0.91512,0.63947,0.75732,0.60478,0.66589,0.64712,0.97433,0.000639027,0.000639027,0.000639027
17,1659.43,0.80462,0.74761,1.05186,0.86451,0.68913,0.76786,0.60947,0.65957,0.63152,0.97619,0.000621029,0.000621029,0.000621029
18,1756.69,0.7526,0.69935,1.02517,0.90501,0.70706,0.78944,0.63822,0.61288,0.57088,0.95081,0.000603031,0.000603031,0.000603031
19,1853.93,0.75574,0.7063,1.03258,0.84318,0.70729,0.7635,0.61897,0.62454,0.62406,0.9439,0.000585032,0.000585032,0.000585032
20,1951.22,0.73379,0.66745,1.01201,0.88075,0.69455,0.77407,0.62624,0.61107,0.60701,0.95469,0.000567034,0.000567034,0.000567034
21,2048.35,0.7152,0.66237,1.01102,0.92275,0.71218,0.79827,0.6501,0.61735,0.5705,0.94685,0.000549036,0.000549036,0.000549036
22,2145.69,0.69607,0.65306,1.00366,0.90133,0.71034,0.79784,0.65373,0.59864,0.57809,0.94432,0.000531038,0.000531038,0.000531038
23,2242.94,0.69237,0.63436,0.99388,0.92547,0.69942,0.79234,0.64451,0.61797,0.58406,0.9414,0.00051304,0.00051304,0.00051304
24,2340.28,0.68327,0.6269,0.99207,0.93473,0.71199,0.80993,0.66846,0.56874,0.53684,0.92712,0.000495041,0.000495041,0.000495041
25,2437.23,0.66278,0.59517,0.97506,0.90349,0.73372,0.80337,0.67651,0.55435,0.52738,0.92538,0.000477043,0.000477043,0.000477043
26,2534.76,0.6612,0.60567,0.9856,0.93483,0.71132,0.80629,0.67811,0.54552,0.50826,0.92726,0.000459045,0.000459045,0.000459045
27,2631.99,0.65742,0.57775,0.96929,0.9084,0.74154,0.81379,0.67941,0.54648,0.50262,0.91576,0.000441047,0.000441047,0.000441047
28,2729.48,0.62536,0.55023,0.96417,0.88976,0.7283,0.80525,0.66538,0.56176,0.52425,0.92924,0.000423049,0.000423049,0.000423049
